,Name,URL,Functional_Group,Popularity %,Short_Code,Duplicate,Duplicate Notes,Verified,Has_Calcification_Rates
181,Acropora valenciennesi,https://coralnet.ucsd.edu/label/6279/,Hard coral,23,valencienn,False,,False,False
182,Acropora valida,https://coralnet.ucsd.edu/label/2435/,Hard coral,58,AcrVal,False,,True,False
183,Acropora verweyi,https://coralnet.ucsd.edu/label/6294/,Hard coral,39,verweyi,False,,False,False
184,Acropora willisae,https://coralnet.ucsd.edu/label/6295/,Hard coral,18,willisae,False,,False,False
185,Acropora yongei,https://coralnet.ucsd.edu/label/5760/,Hard coral,23,AYG,False,,False,False
186,Acroporidae (branching),https://coralnet.ucsd.edu/label/168/,Hard coral,81,ACR_br,False,,True,False
187,Acroporidae branching bleached (white),https://coralnet.ucsd.edu/label/2590/,Hard coral,65,ACR-BRA-B*,False,,False,False
188,Acroporidae (hispidose),https://coralnet.ucsd.edu/label/804/,Hard coral,69,ACR_hi,False,,True,False
189,Acroporidae hispidose bleached,https://coralnet.ucsd.edu/label/2591/,Hard coral,52,ACR-HIP-B*,False,,False,False
190,Acroporidae Other,https://coralnet.ucsd.edu/label/974/,Hard coral,75,ACR-OTH,False,,False,False
191,Acroporidae Other Bleached,https://coralnet.ucsd.edu/label/2592/,Hard coral,38,ACR-OTH-B*,False,,False,False
192,Acroporidae (plate/encrusting),https://coralnet.ucsd.edu/label/169/,Hard coral,79,ACR_p_e,False,,False,False
193,Acroporidae plate/encrusting Bleached,https://coralnet.ucsd.edu/label/2593/,Hard coral,54,ACR-PE-B*,False,,False,False
194,Acroporidae (table/corymbose/digitate),https://coralnet.ucsd.edu/label/167/,Hard coral,76,ACR_t_c_d,False,,False,False
195,ACRO with Turf (LOF),https://coralnet.ucsd.edu/label/6263/,Hard coral,32,ACRO+T,False,,False,False
196,Agaricia,https://coralnet.ucsd.edu/label/2428/,Hard coral,66,Agaricia,False,,True,True
197,Agaricia agaricites,https://coralnet.ucsd.edu/label/1357/,Hard coral,77,AgAga,False,,True,True
198,Agaricia agaricites - Bleached,https://coralnet.ucsd.edu/label/6665/,Hard coral,0,CB-AAGA,False,,False,False
199,Agaricia agaricites - Intermediate bleaching,https://coralnet.ucsd.edu/label/6646/,Hard coral,20,CI-AAGA,False,,False,False
200,Agaricia fragilis,https://coralnet.ucsd.edu/label/1358/,Hard coral,59,AgFra,False,,True,True
201,Agaricia grahamae,https://coralnet.ucsd.edu/label/1359/,Hard coral,67,AgGra,False,,True,True
