,Label ID,Name,URL,Functional Group,Popularity %,Short Code,Duplicate,Duplicate Notes,Verified,Has Calcification Rates
120,4478,Acropora microclados,https://coralnet.ucsd.edu/label/4478/,Hard coral,40,ACRmc,False,,False,False
121,4479,Acropora microphthalma,https://coralnet.ucsd.edu/label/4479/,Hard coral,51,ACRmi,False,,False,False
122,126,Acropora millepora,https://coralnet.ucsd.edu/label/126/,Hard coral,68,AcrMille,False,,True,False
123,2385,Acropora monticulosa,https://coralnet.ucsd.edu/label/2385/,Hard coral,42,AcrMon,False,,True,False
124,6301,Acropora multiacuta,https://coralnet.ucsd.edu/label/6301/,Hard coral,26,multiacuta,False,,False,False
125,2386,Acropora muricata,https://coralnet.ucsd.edu/label/2386/,Hard coral,70,AcrMur,False,,True,False
126,5336,Acropora muricata bleached,https://coralnet.ucsd.edu/label/5336/,Hard coral,56,AMUR-BL,False,,False,False
127,4480,Acropora nana,https://coralnet.ucsd.edu/label/4480/,Hard coral,45,ACRna,False,,False,False
128,2387,Acropora nasuta,https://coralnet.ucsd.edu/label/2387/,Hard coral,49,AcrNas,False,,True,False
129,5883,Acropora NonBranching Bleached,https://coralnet.ucsd.edu/label/5883/,Hard coral,36,ANB,False,,False,False
130,5884,Acropora NonBranching Dead,https://coralnet.ucsd.edu/label/5884/,Hard coral,51,AND,False,,False,False
131,5881,Acropora NonBranching Healthy,https://coralnet.ucsd.edu/label/5881/,Hard coral,64,ANH,False,,False,False
132,5882,Acropora NonBranching Paling,https://coralnet.ucsd.edu/label/5882/,Hard coral,54,ANP,False,,False,False
133,1769,Acropora palmata,https://coralnet.ucsd.edu/label/1769/,Hard coral,76,AcrPalm,False,,True,True
134,7241,Acropora palmata - Bleached,https://coralnet.ucsd.edu/label/7241/,Hard coral,0,APB2,False,,False,False
135,7626,Acropora palmata - outplanted,https://coralnet.ucsd.edu/label/7626/,Hard coral,0,AcrPalO,False,,False,False
136,6258,Acropora palmerae,https://coralnet.ucsd.edu/label/6258/,Hard coral,43,palmerae,False,,False,False
137,6273,Acropora paniculata,https://coralnet.ucsd.edu/label/6273/,Hard coral,31,paniculata,False,,False,False
138,6267,Acropora papillare,https://coralnet.ucsd.edu/label/6267/,Hard coral,28,papillare,False,,False,False
139,1546,Acropora pharaonis,https://coralnet.ucsd.edu/label/1546/,Hard coral,51,AcrPhar,False,,True,False
140,7288,Acropora plate,https://coralnet.ucsd.edu/label/7288/,Hard coral,0,Acr_pl,False,,False,False
141,606,Acropora (plating),https://coralnet.ucsd.edu/label/606/,Hard coral,71,Acr_plat,False,,True,False
142,6268,Acropora polystoma,https://coralnet.ucsd.edu/label/6268/,Hard coral,26,polystoma,False,,False,False
143,1356,Acropora prolifera,https://coralnet.ucsd.edu/label/1356/,Hard coral,71,AcrPro,False,,True,True
144,6287,Acropora pulchra,https://coralnet.ucsd.edu/label/6287/,Hard coral,26,pulchra,False,,False,False
145,6167,Acropora pulchra - dead,https://coralnet.ucsd.edu/label/6167/,Hard coral,42,Apd,False,,False,False
146,4323,Acropora retusa,https://coralnet.ucsd.edu/label/4323/,Hard coral,46,ARET,False,,False,False
147,6260,Acropora robusta,https://coralnet.ucsd.edu/label/6260/,Hard coral,28,robusta,False,,False,False
148,1937,Acropora robusta group,https://coralnet.ucsd.edu/label/1937/,Hard coral,53,Acr_rob_gr,False,,False,False
